,PercentCoverage,TotalCollects,AgilityMetric,WeightedSunAngle,NumberDownlinkOppurtunities,CrossLinkCommAvailability,GenericDynamicMetric
Value 59,68.99463876321015,403,3.012451680152127,151.00379836384712,10.56958977523335,2390.924698184506,2.930726408862278
Value 60,90.72434112712789,393,1.5789336472335604,187.0029663900964,25.542837734142708,4404.626894754572,3.5619939864984147
Value 61,73.23386936119498,388,2.278608531221104,212.6693051529499,11.919674734573858,645.7626148516335,5.564418769909713
Value 62,69.72445332948574,406,3.202693217531928,25.446945755878332,10.519091941124843,518.2957347313647,1.8153135257333952
Value 63,100.0,387,1.2084835971053272,74.67423799974446,158.08780252990462,4524.705747043819,4.915721899559946
Value 64,71.50723432200928,399,2.7918772712322886,106.33862175741041,12.645052160107848,398.2198036503745,1.9716652971326143
Value 65,88.98599934601545,405,1.8788351644634929,59.55665033807145,17.483026333724446,1309.8171376409252,19.011812194688105
Value 66,81.06197227561212,424,3.313775982555719,104.33474861962445,15.618646163262879,119.89532509783258,1.882221476069669
Value 67,76.56449281680558,404,2.7086635817610003,96.67255661601106,12.884772209349228,119.65138524454018,1.7356977363155814
Value 68,92.71414820288824,415,3.0533482916129153,114.00130284235512,19.946338819589286,1045.464157451394,2.344647801255606
Value 69,72.15692600735144,391,3.213897223817437,219.66923915638696,11.20051733065624,625.8150783178666,2.071073734652173
Value 70,100.0,399,1.0499212761421313,121.67142157489067,143.17751823585937,3464.6283593686003,6.371199544792712
Value 71,74.89404496715144,402,2.22957571051063,59.334406329739494,13.748665099541178,829.1960948610969,2.8975756051327735
Value 72,81.71789282246198,390,2.7854755415915085,72.55642625330117,14.601454251562492,1840.0255613651254,1.857846828486368
Value 73,77.3851380254683,391,2.1811917752992587,194.66952119820186,15.604147195073693,1850.0030300325404,3.0812980513653803
Value 74,88.27654552576028,390,1.6423718709977435,41.890366782468206,24.917538661627333,2322.423270212079,3.9815525709289896
Value 75,72.92327249346951,399,2.156512519059928,141.33735173293093,10.933380674783711,2173.696193366127,2.4259786393049447
Value 76,84.3023366146407,388,2.2642068947408824,89.66736988280404,17.222617953743317,1731.622621738778,2.7821737523879073
Value 77,97.75778593364878,404,2.023418960828082,217.00261409699527,32.592290096833466,230.59905954739094,4.087846355823504
Value 78,74.50744850529222,391,2.8605187586227894,186.0030625577474,12.193679527053597,461.1795446683321,2.5809324205045803
Value 79,88.6447349365357,388,1.7368004279251203,137.67072337892617,23.836245479617688,1428.2018528908598,3.672413282979819
Value 80,84.78826593476738,402,2.52080355827403,26.335711522647955,23.059984488672225,1225.7259638227863,2.0405490830552053
Value 81,78.96794082191258,416,2.6174973270367596,147.33736066173074,11.95504341435359,1053.0920327133365,4.385747489033956
Value 82,100.0,380,1.5119926020939076,121.00456450275205,36.05410111309429,4051.185702260957,3.8090754992527303
Value 83,68.10592845492395,378,2.914439446378184,47.33617877424207,13.52810624492372,746.5966545871432,1.7675188638283186
Value 84,72.84079815870001,402,3.1047316076547786,35.00408336764903,10.95949282027057,2519.732241616458,1.9057237230252602
Value 85,100.0,397,1.0596941492360832,66.55648925912156,283.92996841767945,14937.32462280237,5.368881737228574
Value 86,90.80726328848522,397,2.2994784933968813,149.0038128693626,24.23911741616183,677.757937210924,3.285043346559788
Value 87,84.06228314371913,395,2.7117070122601814,65.00096355260195,17.973639266710943,1805.2561136856987,2.10564862143538
Value 88,93.01451251096556,381,1.9291478343725066,74.50187039517905,26.348655155237882,3704.1222135215035,2.6445274702362984
Value 89,100.0,393,2.0173172257737355,68.1120440800404,46.89874675360743,3600.1493124199596,3.656181441213733
Value 90,81.54194940997262,403,2.1207866796944104,57.50246766897333,17.441947853056032,1395.1845125761974,6.740389921519792
Value 91,73.3395176953145,421,3.332853361810811,184.66987274669958,10.135019176035227,1007.6906460256067,2.5623113651560656
Value 92,100.0,391,2.337298951112266,211.33601158837988,32.25816027222418,716.1674797452346,2.678768421746366
Value 93,88.37039122964462,373,2.167102520215157,41.01347462563451,24.966677749839413,318.5304073912666,2.521488445257296
Value 94,100.0,420,1.9869373993938275,51.4457297253769,48.94464165709381,7470.989859214408,3.582894678800866
Value 95,100.0,385,0.919770658111165,61.77878387909081,546.3024075736073,7344.621476798547,7.545921575899629
Value 96,83.86961553185695,408,2.7426196332804986,68.66761990987769,14.67933438038884,2619.1559429333574,3.6320990499629486
Value 97,85.5280420345708,385,2.1173352733600663,50.890101307285846,21.350406395187342,341.3976684654744,5.038632328213326
Value 98,77.81072974710892,378,2.7924460578067554,164.00341012447063,14.550700335251094,955.0781866392796,2.15258521148873
Value 99,69.59711969993673,409,2.772464951376892,140.0041089304295,10.561723204124537,630.2321005948077,1.9127182460096748
Value 100,79.04476760389363,401,2.021786938456851,172.00326853263545,18.57976416814898,2548.7867852771205,2.643647694684497
